Array Length,Bubble Random Execution Time,Bubble Sorted Execution Time,Bubble Reversed Execution Time,Selection Random Execution Time,Selection Sorted Execution Time,Selection Reversed Execution Time,Insertion Random Execution Time,Insertion Sorted Execution Time,Insertion Reversed Execution Time
37,0.04,0.02,0.03,0.02,0.02,0.02,0.01,0.0,0.0
84,0.18,0.09,0.17,0.08,0.09,0.08,0.01,0.01,0.01
18,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
44,0.05,0.03,0.05,0.02,0.02,0.02,0.0,0.0,0.0
47,0.06,0.03,0.05,0.02,0.02,0.02,0.0,0.0,0.0
90,0.16,0.08,0.16,0.07,0.07,0.07,0.01,0.01,0.01
44,0.04,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0
85,0.14,0.09,0.14,0.06,0.07,0.06,0.01,0.01,0.01
69,0.09,0.05,0.09,0.04,0.04,0.04,0.01,0.01,0.01
83,0.14,0.07,0.13,0.06,0.07,0.06,0.01,0.01,0.01
1050,26.98,13.88,27.3,12.71,12.71,13.07,0.13,0.11,0.12
3321,297.8,167.34,307.97,130.51,121.76,121.85,0.48,0.37,0.38
8312,1897.15,1014.49,1868.04,795.52,797.41,817.97,1.24,0.98,1.0
2969,231.69,126.29,247.35,112.4,110.45,112.24,0.36,0.33,0.35
1412,54.7,28.58,54.28,23.9,23.7,23.95,0.17,0.17,0.16
3491,350.23,187.34,335.81,136.82,134.4,135.98,0.5,0.41,0.41
4738,598.6,333.42,592.76,252.81,256.66,269.54,0.74,0.61,0.58
6987,1304.34,718.72,1297.69,559.25,539.84,571.05,0.94,0.83,0.76
1757,77.93,42.0,78.48,33.85,35.04,34.03,0.22,0.18,0.18
4871,627.56,343.53,627.59,265.15,276.16,267.41,0.79,0.61,0.56
287,1.59,0.84,1.7,0.74,0.73,0.74,0.03,0.03,0.03
2685,199.16,107.13,185.08,80.15,79.68,80.85,0.31,0.29,0.28
6474,1111.3,619.46,1124.58,491.46,501.11,472.73,0.91,0.74,0.7
1727,76.1,41.1,79.38,35.13,35.55,35.13,0.21,0.2,0.19
2671,189.7,99.4,184.63,79.28,79.39,85.58,0.37,0.33,0.31
9729,2621.45,1409.5,2584.95,1103.79,1068.93,1118.82,1.32,1.12,1.17
9853,2644.63,1427.0,2799.88,1161.21,1195.06,1212.19,1.61,1.16,1.1
4410,516.46,287.54,519.48,218.0,230.72,235.02,0.57,0.52,0.52
9338,2406.48,1299.57,2412.26,1007.76,964.43,1050.43,1.28,1.13,1.02
1236,38.07,20.4,38.45,16.89,16.73,16.86,0.14,0.13,0.13
1008,25.43,12.97,24.16,11.0,11.0,11.01,0.1,0.1,0.1
5569,830.4,446.64,821.82,364.14,369.5,350.61,0.74,0.6,0.61
3935,402.11,221.13,417.99,169.93,173.35,175.11,0.54,0.47,0.43
7009,1319.91,717.02,1394.63,579.19,563.4,554.3,0.98,0.79,0.77
5431,787.72,433.62,803.58,345.45,340.91,335.48,0.93,0.63,0.64
2954,228.64,123.75,225.09,95.4,95.01,97.69,0.4,0.39,0.32
672,10.51,5.37,10.21,4.81,4.78,4.91,0.07,0.07,0.07
5453,808.09,430.15,785.72,340.92,325.52,339.33,0.74,0.65,0.61
9494,2474.05,1372.32,2468.87,1041.9,1038.71,1032.21,1.51,1.18,1.02
1947,97.81,54.09,97.2,42.18,42.96,45.45,0.27,0.24,0.24
2087,121.61,61.81,112.26,47.76,49.09,51.54,0.24,0.25,0.24
8250,1904.08,1030.25,1823.88,784.85,762.6,846.91,1.21,1.01,0.97
7322,1462.59,793.01,1429.18,610.49,591.75,613.31,1.05,0.91,0.86
4668,579.21,318.09,576.64,242.33,240.39,240.91,0.64,0.52,0.5
9029,2228.16,1208.16,2244.5,949.04,935.78,932.22,1.42,1.07,1.0
8405,1916.53,1044.84,1900.56,823.95,792.88,818.55,1.13,0.97,0.92
9268,2352.63,1312.99,2331.75,998.29,972.81,1004.8,1.29,1.17,1.06
8411,1904.61,1063.7,1936.06,806.11,791.38,826.76,1.17,1.0,0.99
2585,172.83,92.85,174.69,75.01,75.4,75.77,0.34,0.43,0.28
6307,1076.0,581.34,1053.72,444.66,437.56,440.94,0.87,0.74,0.65
2501,163.22,88.25,161.78,69.32,69.3,69.8,0.32,0.28,0.28
3932,413.27,220.77,406.61,171.46,172.34,172.4,0.6,0.49,0.44
677,10.29,5.68,10.56,4.86,4.76,4.81,0.07,0.07,0.06
5350,768.15,417.88,757.2,322.68,320.48,316.15,0.72,0.64,0.55
8434,1931.7,1098.34,1955.74,826.14,789.17,852.36,1.2,1.12,0.97
382,3.09,1.55,2.99,1.44,1.46,1.45,0.04,0.04,0.04
8302,1881.09,1018.86,1855.05,804.71,761.3,777.4,1.12,0.91,0.86
3426,303.19,166.12,310.12,131.46,129.83,129.24,0.43,0.39,0.4
8534,1972.32,1072.81,2037.68,851.0,808.96,843.53,1.15,0.91,0.91
4947,644.51,353.43,642.93,271.38,268.93,270.21,0.68,0.58,0.54
19154,10217.33,5471.22,10139.83,4677.51,4240.04,4980.62,2.73,2.22,2.43
14674,6108.81,3374.08,6182.27,2700.76,2573.56,2739.14,2.15,1.81,1.88
10781,3361.27,1851.77,3349.2,1544.78,1373.89,1443.08,1.5,1.28,1.23
15939,7570.23,4232.13,7467.59,3248.76,3008.51,3309.23,2.27,1.91,1.91
10632,3238.89,1768.95,3281.86,1389.41,1332.69,1413.61,1.73,1.3,1.25
